name,abbrev,gst,pst,hst
British Columbia, BC,5,7,
Alberta, AB,5,,
Saskatchewan, SK,5,6,
Manitoba, MB,5,7
Ontario, ON,,,13
Quebec, QC,5,10
Newfoundland and Labrador, NL,,,15
New Brunswick, NB,,,15
Nova Scotia, NS,,,15
Prince Edward Island, PEI,,,15
Yukon, YT,5,,
Northwest Territories, NT,5,,
Nunavut, NU,5,,
